               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17705,           0.0081651,            0.054509,          0.00017333,           0.0057471,          9.0829e-05,          1.8468e-05,             0.16749,            0.013769,            0.049556,            0.070323,           0.0032975,           0.0032975
                   1,             0.16063,           0.0090364,            0.040919,           0.0010409,            0.031122,           0.0017781,          0.00032886,             0.15601,            0.018736,            0.040615,            0.040279,           0.0065871,           0.0065871
                   2,             0.15258,            0.010313,            0.035852,             0.50393,            0.026498,           0.0050979,            0.001242,              0.1561,            0.018317,            0.038656,            0.010191,           0.0098326,           0.0098326
                   3,             0.14781,            0.010362,            0.032463,             0.51982,            0.017158,            0.010061,           0.0027036,              0.1516,            0.018686,            0.035927,            0.009802,            0.009802,            0.009802
                   4,             0.14239,            0.010802,            0.030634,             0.53664,            0.013751,             0.01523,           0.0047691,             0.14703,            0.017553,            0.036479,            0.009802,            0.009802,            0.009802
                   5,             0.13895,            0.010359,            0.028648,             0.69357,            0.026549,            0.025676,           0.0082014,              0.1474,            0.020414,            0.037549,            0.009736,            0.009736,            0.009736
                   6,             0.13651,            0.010001,            0.028007,             0.69423,             0.04008,            0.041875,            0.013391,             0.13814,            0.020409,            0.032555,             0.00967,             0.00967,             0.00967
                   7,             0.13386,           0.0098608,             0.02691,             0.69548,            0.025877,            0.026267,           0.0082679,             0.15182,            0.019546,            0.040906,            0.009604,            0.009604,            0.009604
                   8,             0.13201,           0.0097376,            0.026186,             0.82185,             0.04738,            0.049476,            0.017548,             0.13516,            0.019168,            0.031058,            0.009538,            0.009538,            0.009538
                   9,              0.1303,           0.0098321,            0.025479,             0.71389,            0.045478,            0.047378,            0.016056,             0.13932,            0.022513,            0.033205,            0.009472,            0.009472,            0.009472
                  10,             0.12945,           0.0096935,            0.025501,             0.70276,            0.052687,            0.053784,            0.019115,             0.13372,            0.019875,            0.032856,            0.009406,            0.009406,            0.009406
                  11,             0.12875,           0.0097845,            0.025314,             0.68236,            0.059556,            0.060615,            0.022733,             0.13478,            0.021365,            0.030378,             0.00934,             0.00934,             0.00934
                  12,             0.12688,           0.0096078,            0.024538,              0.8687,            0.049251,            0.072364,            0.027057,              0.1316,            0.018661,            0.030427,            0.009274,            0.009274,            0.009274
                  13,             0.12618,           0.0094525,            0.024223,             0.63569,            0.073942,            0.072326,            0.027485,             0.13161,            0.020568,            0.029108,            0.009208,            0.009208,            0.009208
                  14,             0.12455,            0.009538,            0.023796,             0.62386,            0.059365,            0.054437,            0.020386,             0.13795,            0.019097,            0.040269,            0.009142,            0.009142,            0.009142
                  15,             0.12391,            0.009448,            0.023612,             0.61548,            0.083835,            0.073668,            0.028184,             0.12981,            0.020039,            0.029018,            0.009076,            0.009076,            0.009076
                  16,             0.12407,           0.0094242,            0.023988,             0.63397,            0.081355,            0.069221,            0.026895,             0.12814,              0.0188,            0.028548,             0.00901,             0.00901,             0.00901
                  17,             0.12273,           0.0094269,            0.023582,             0.76342,            0.030052,            0.048252,            0.017417,             0.14138,            0.023834,            0.034066,            0.008944,            0.008944,            0.008944
                  18,             0.12274,           0.0094244,            0.023542,             0.64551,             0.10654,            0.091689,            0.036286,             0.13112,            0.020171,            0.028668,            0.008878,            0.008878,            0.008878
                  19,             0.12181,           0.0094554,            0.022958,             0.65258,             0.11587,             0.10009,            0.037522,             0.12513,            0.019336,            0.027095,            0.008812,            0.008812,            0.008812
                  20,              0.1221,           0.0095046,            0.022992,             0.65472,            0.098848,             0.09053,            0.036133,             0.12659,            0.019662,            0.029345,            0.008746,            0.008746,            0.008746
                  21,             0.12066,           0.0093725,            0.022682,             0.51512,             0.10789,            0.085427,            0.033385,              0.1317,            0.018645,            0.033277,             0.00868,             0.00868,             0.00868
                  22,             0.11966,            0.009561,            0.021861,             0.64439,             0.11514,              0.0956,            0.038054,             0.12924,             0.01903,            0.031674,            0.008614,            0.008614,            0.008614
                  23,             0.11983,           0.0093827,            0.022211,             0.65026,             0.11764,             0.10509,            0.041632,             0.12532,            0.019844,            0.026062,            0.008548,            0.008548,            0.008548
                  24,             0.11947,           0.0095689,            0.021779,             0.65316,            0.083906,            0.087875,            0.036267,             0.12682,            0.021831,            0.027606,            0.008482,            0.008482,            0.008482
                  25,             0.11888,           0.0093986,            0.021605,             0.65789,             0.11595,             0.11075,            0.045867,             0.12218,                0.02,            0.026499,            0.008416,            0.008416,            0.008416
                  26,             0.11941,           0.0091241,            0.021901,             0.66954,             0.11069,             0.10673,            0.044856,             0.12484,            0.021009,            0.027398,             0.00835,             0.00835,             0.00835
                  27,             0.11805,           0.0094646,            0.021568,             0.68415,             0.11979,             0.12159,             0.04856,             0.12204,            0.019726,            0.026048,            0.008284,            0.008284,            0.008284
                  28,             0.11733,           0.0094376,            0.020793,             0.56221,             0.09385,            0.097976,            0.040229,              0.1275,             0.02199,              0.0286,            0.008218,            0.008218,            0.008218
                  29,             0.11806,           0.0094292,            0.021447,             0.67605,             0.13819,             0.13477,            0.055958,             0.12163,            0.019652,            0.025479,            0.008152,            0.008152,            0.008152
                  30,             0.11731,           0.0093254,            0.021296,             0.52979,             0.14269,             0.13714,            0.058469,             0.12186,             0.02005,            0.025288,            0.008086,            0.008086,            0.008086
                  31,             0.11739,           0.0094053,            0.021544,             0.40886,             0.13522,             0.12658,            0.051818,             0.12374,             0.02086,            0.026925,             0.00802,             0.00802,             0.00802
                  32,              0.1173,           0.0095863,             0.02074,             0.37573,             0.11886,             0.11637,            0.050279,             0.12444,            0.020884,            0.027051,            0.007954,            0.007954,            0.007954
                  33,             0.11729,           0.0094005,            0.021173,             0.54132,              0.1496,              0.1472,            0.065339,             0.12185,             0.02072,             0.02501,            0.007888,            0.007888,            0.007888
                  34,             0.11637,           0.0094055,            0.020942,             0.33591,             0.15861,             0.14709,            0.061932,             0.11957,            0.020627,             0.02518,            0.007822,            0.007822,            0.007822
                  35,             0.11687,           0.0094136,            0.020676,             0.36569,             0.15818,             0.14683,            0.061995,             0.12049,            0.020405,             0.02494,            0.007756,            0.007756,            0.007756
                  36,             0.11673,           0.0093656,            0.020866,             0.34549,             0.17731,             0.15277,            0.065541,             0.11895,            0.020205,            0.024941,             0.00769,             0.00769,             0.00769
                  37,             0.11503,           0.0094758,            0.020235,             0.35922,             0.16196,             0.15263,            0.064733,             0.11913,            0.019802,            0.024688,            0.007624,            0.007624,            0.007624
                  38,             0.11527,            0.009303,            0.020282,             0.35885,             0.16915,             0.16353,            0.070627,              0.1183,            0.020394,            0.024282,            0.007558,            0.007558,            0.007558
                  39,             0.11605,           0.0093284,            0.020815,             0.39164,             0.17428,             0.15724,            0.068742,             0.11805,            0.020493,            0.024641,            0.007492,            0.007492,            0.007492
                  40,             0.11435,           0.0094237,            0.020321,             0.37656,             0.18887,             0.17759,            0.075542,             0.11736,             0.02016,            0.024313,            0.007426,            0.007426,            0.007426
                  41,               0.115,           0.0093231,            0.020062,             0.36255,             0.17854,             0.16725,            0.071555,             0.11825,            0.019996,            0.024325,             0.00736,             0.00736,             0.00736
                  42,             0.11521,           0.0093367,            0.020015,             0.37508,             0.18902,             0.17536,            0.075954,             0.11831,            0.020453,            0.024175,            0.007294,            0.007294,            0.007294
                  43,             0.11415,           0.0095197,            0.019832,             0.26241,             0.12166,             0.12246,             0.05251,             0.12609,            0.021436,            0.030142,            0.007228,            0.007228,            0.007228
                  44,             0.11398,            0.009395,            0.019845,             0.24592,             0.19062,             0.17506,            0.074837,             0.11894,            0.020444,            0.024036,            0.007162,            0.007162,            0.007162
                  45,             0.11373,            0.009386,            0.019971,             0.25185,             0.18466,             0.16621,            0.073735,             0.11959,            0.021092,            0.024631,            0.007096,            0.007096,            0.007096
